# Supplementary table 1 of Takahashi et al. PASJ
#
# ML classification results of 1824 HSC SNe
#
# column  1, Index:	Index
# column  2, Name:	SN Name
# column  3, Case:	Case (-1 if not available)
# column  4, z:		Redshift (NaN if not available)
# column  5, z_err1:	Redshift error 1
# column  6, z_err2:	Redshift error 2
# column  7, z_src:	Redshift source (1: spec-z, 2: COSMOS photo-z, 3: HSC photo-z ultra-deep, 4: HSC photo-z deep, 0: hostless)
# column  8, dof:	Degree of freedom in SALT2 fitting
# column  9, Label:	SN type labeled by SALT2 fitting (UC: unclassified)
# column 10, F_cover:	Flag indicating whether the photometric data covers the period of 10 days before and 20 days after the peak
# column 11, M2_Ia:	Ia probability in binary classification with pseudo-absolute magnitude (M) and normalized flux (f)
# column 12, M3_Ia:	Ia probability in 3-class classification with M and f
# column 13, M3_Ibc:	Ibc probability in 3-class classification with M and f
# column 14, M3_II:	II probability in 3-class classification with M and f
# column 15, M3_pred:	SN type in 3-class classification with M and f
# column 16, m2_Ia:	Ia probability in binary classification with magnitude (m) and normalized flux (f)
# column 17, m3_Ia:	Ia probability in 3-class classification with m and f
# column 18, m3_Ibc:	Ibc probability in 3-class classification with m and f
# column 19, m3_II:	II probability in 3-class classification with m and f
# column 20, m3_pred:	SN type in 3-class classification with m and f
#
#Index	Name		Case	z	z_err1	z_err2	z_src	dof	Label	F_cover	M2_Ia	M3_Ia	M3_Ibc	M3_II	M3_pred	m2_Ia	m3_Ia	m3_Ibc	m3_II	m3_pred
0	HSC16aaau	1	0.370	-0.072	0.110	3	7	Ia?	False	0.556	0.554	0.022	0.424	Ia	0.517	0.649	0.008	0.342	Ia
1	HSC16aaav	1	3.280	-2.423	0.167	4	17	nonIa	True	0.134	0.049	0.002	0.949	II	0.279	0.356	0.048	0.596	II
2	HSC16aabj	0	0.361	-0.008	0.007	2	8	nonIa	False	0.630	0.667	0.001	0.331	Ia	0.574	0.578	0.018	0.405	Ia
3	HSC16aabk	1	NaN	0.000	0.000	0	9	Ia?	False	NaN	NaN	NaN	NaN	NaN	0.433	0.675	0.077	0.248	Ia
4	HSC16aabp	1	1.477	-0.032	0.037	2	19	nonIa	False	0.957	0.964	0.001	0.035	Ia	0.807	0.871	0.039	0.090	Ia
5	HSC16aaby	1	0.486	-0.011	0.011	2	8	Ia?	False	0.067	0.041	0.194	0.766	II	0.069	0.024	0.177	0.799	II
6	HSC16aact	1	0.130	-0.031	0.038	3	8	nonIa	False	0.166	0.117	0.395	0.487	II	0.786	0.706	0.010	0.285	Ia
7	HSC16aacu	1	0.910	-0.017	0.030	3	17	nonIa	False	0.750	0.776	0.001	0.223	Ia	0.773	0.785	0.003	0.212	Ia
8	HSC16aacz	0	0.830	-0.046	0.080	3	12	Ia	False	0.422	0.474	0.167	0.359	Ia	0.339	0.590	0.153	0.257	Ia
9	HSC16aads	0	0.470	-0.097	0.229	3	8	nonIa	False	0.525	0.460	0.252	0.288	Ia	0.688	0.669	0.041	0.290	Ia
